[2023-05-10 04:47:30,094] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,103] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,111] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,120] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,128] INFO [Broker id=0] Leader connect-offsets-10 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,137] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,147] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,156] INFO [Broker id=0] Leader connect-status-0 with topic id Some(tGVawypSRn-n583hdVGY1g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,164] INFO [Broker id=0] Leader connect-offsets-18 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,172] INFO [Broker id=0] Leader connect-offsets-3 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,180] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,188] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,196] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,205] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,213] INFO [Broker id=0] Leader connect-offsets-20 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
